richtung,tagestyp,fahrt_nr,reihenfolge,haltestelle,uhrzeit
Puderbach -> Neuwied,Mo-Fr,6,9,SZ-Center B,10.06
Puderbach -> Neuwied,Mo-Fr,6,10,Rüscheid Siegel,10.13
Puderbach -> Neuwied,Mo-Fr,6,11,Anhausen Petershof A,10.15
Puderbach -> Neuwied,Mo-Fr,6,12,Schillerstraße A an,10.18
Puderbach -> Neuwied,Mo-Fr,6,13,Schillerstraße A ab,10.19
Puderbach -> Neuwied,Mo-Fr,6,14,Braunsberg/Rheinhöhenweg,10.21
Puderbach -> Neuwied,Mo-Fr,6,15,Gladbach Haus am Pilz,10.23
Puderbach -> Neuwied,Mo-Fr,6,16,Chausseehaus,10.26
Puderbach -> Neuwied,Mo-Fr,6,17,Torney Dierdorfer Straße,10.29
Puderbach -> Neuwied,Mo-Fr,6,18,Friedhof Wennenberg,10.30
Puderbach -> Neuwied,Mo-Fr,6,19,Neuwied Beverwijker Ring,10.32
Puderbach -> Neuwied,Mo-Fr,6,20,Ludwig-Erhard-Schule,10.35
Puderbach -> Neuwied,Mo-Fr,6,21,Matthiasberg,10.36
Puderbach -> Neuwied,Mo-Fr,6,22,Stadion A,10.38
Puderbach -> Neuwied,Mo-Fr,6,23,Im Weidchen A,10.39
Puderbach -> Neuwied,Mo-Fr,6,24,Schloßtheater A,10.40
Puderbach -> Neuwied,Mo-Fr,6,25,Marktkirche A,10.42
Puderbach -> Neuwied,Mo-Fr,6,26,Marktstraße B,10.43
Puderbach -> Neuwied,Mo-Fr,6,27,Moltkeplatz A,10.45
Puderbach -> Neuwied,Mo-Fr,6,28,Bahnhof H,10.51
Puderbach -> Neuwied,Mo-Fr,7,1,Puderbach Verbandsgemeinde,10.49
Puderbach -> Neuwied,Mo-Fr,7,2,Hölzchens Mühle,10.50
Puderbach -> Neuwied,Mo-Fr,7,3,Hanroth Hedwigsthal A,10.51
Puderbach -> Neuwied,Mo-Fr,7,4,Raubach In der Au,10.55
Puderbach -> Neuwied,Mo-Fr,7,5,Wienau Flemmer,10.58
Puderbach -> Neuwied,Mo-Fr,7,6,Dierdorf Markt an,11.02
Puderbach -> Neuwied,Mo-Fr,7,7,Dierdorf Markt ab,11.03
Puderbach -> Neuwied,Mo-Fr,7,8,Neuwieder Straße B,11.04
Puderbach -> Neuwied,Mo-Fr,7,9,SZ-Center B,11.06
Puderbach -> Neuwied,Mo-Fr,7,10,Rüscheid Siegel,11.13
Puderbach -> Neuwied,Mo-Fr,7,11,Anhausen Petershof A,11.15
Puderbach -> Neuwied,Mo-Fr,7,12,Schillerstraße A an,11.18
Puderbach -> Neuwied,Mo-Fr,7,13,Schillerstraße A ab,11.19
Puderbach -> Neuwied,Mo-Fr,7,14,Braunsberg/Rheinhöhenweg,11.21
Puderbach -> Neuwied,Mo-Fr,7,15,Gladbach Haus am Pilz,11.23
Puderbach -> Neuwied,Mo-Fr,7,16,Chausseehaus,11.26
Puderbach -> Neuwied,Mo-Fr,7,17,Torney Dierdorfer Straße,11.29
Puderbach -> Neuwied,Mo-Fr,7,18,Friedhof Wennenberg,11.30
Puderbach -> Neuwied,Mo-Fr,7,19,Neuwied Beverwijker Ring,11.32
Puderbach -> Neuwied,Mo-Fr,7,20,Ludwig-Erhard-Schule,11.35
Puderbach -> Neuwied,Mo-Fr,7,21,Matthiasberg,11.36
Puderbach -> Neuwied,Mo-Fr,7,22,Stadion A,11.38
Puderbach -> Neuwied,Mo-Fr,7,23,Im Weidchen A,11.39
Puderbach -> Neuwied,Mo-Fr,7,24,Schloßtheater A,11.40
Puderbach -> Neuwied,Mo-Fr,7,25,Marktkirche A,11.42
Puderbach -> Neuwied,Mo-Fr,7,26,Marktstraße B,11.43
Puderbach -> Neuwied,Mo-Fr,7,27,Moltkeplatz A,11.45
Puderbach -> Neuwied,Mo-Fr,7,28,Bahnhof H,11.51
Puderbach -> Neuwied,Mo-Fr,8,1,Puderbach Verbandsgemeinde,11.49
Puderbach -> Neuwied,Mo-Fr,8,2,Hölzchens Mühle,11.50
Puderbach -> Neuwied,Mo-Fr,8,3,Hanroth Hedwigsthal A,11.51
Puderbach -> Neuwied,Mo-Fr,8,4,Raubach In der Au,11.55
Puderbach -> Neuwied,Mo-Fr,8,5,Wienau Flemmer,11.58
Puderbach -> Neuwied,Mo-Fr,8,6,Dierdorf Markt an,12.02
Puderbach -> Neuwied,Mo-Fr,8,7,Dierdorf Markt ab,12.03
Puderbach -> Neuwied,Mo-Fr,8,8,Neuwieder Straße B,12.04
Puderbach -> Neuwied,Mo-Fr,8,9,SZ-Center B,12.06
Puderbach -> Neuwied,Mo-Fr,8,10,Rüscheid Siegel,12.13
Puderbach -> Neuwied,Mo-Fr,8,11,Anhausen Petershof A,12.15
Puderbach -> Neuwied,Mo-Fr,8,12,Schillerstraße A an,12.18
Puderbach -> Neuwied,Mo-Fr,8,13,Schillerstraße A ab,12.19
Puderbach -> Neuwied,Mo-Fr,8,14,Braunsberg/Rheinhöhenweg,12.21
Puderbach -> Neuwied,Mo-Fr,8,15,Gladbach Haus am Pilz,12.23
Puderbach -> Neuwied,Mo-Fr,8,16,Chausseehaus,12.26
Puderbach -> Neuwied,Mo-Fr,8,17,Torney Dierdorfer Straße,12.29
Puderbach -> Neuwied,Mo-Fr,8,18,Friedhof Wennenberg,12.30
Puderbach -> Neuwied,Mo-Fr,8,19,Neuwied Beverwijker Ring,12.32
Puderbach -> Neuwied,Mo-Fr,8,20,Ludwig-Erhard-Schule,12.35
Puderbach -> Neuwied,Mo-Fr,8,21,Matthiasberg,12.36
Puderbach -> Neuwied,Mo-Fr,8,22,Stadion A,12.38
Puderbach -> Neuwied,Mo-Fr,8,23,Im Weidchen A,12.39
Puderbach -> Neuwied,Mo-Fr,8,24,Schloßtheater A,12.40
Puderbach -> Neuwied,Mo-Fr,8,25,Marktkirche A,12.42
Puderbach -> Neuwied,Mo-Fr,8,26,Marktstraße B,12.43
Puderbach -> Neuwied,Mo-Fr,8,27,Moltkeplatz A,12.45
Puderbach -> Neuwied,Mo-Fr,8,28,Bahnhof H,12.51
Puderbach -> Neuwied,Mo-Fr,9,1,Puderbach Verbandsgemeinde,12.49
Puderbach -> Neuwied,Mo-Fr,9,2,Hölzchens Mühle,12.50
Puderbach -> Neuwied,Mo-Fr,9,3,Hanroth Hedwigsthal A,12.51
Puderbach -> Neuwied,Mo-Fr,9,4,Raubach In der Au,12.55
Puderbach -> Neuwied,Mo-Fr,9,5,Wienau Flemmer,12.58
Puderbach -> Neuwied,Mo-Fr,9,6,Dierdorf Markt an,13.02
Puderbach -> Neuwied,Mo-Fr,9,7,Dierdorf Markt ab,13.03
Puderbach -> Neuwied,Mo-Fr,9,8,Neuwieder Straße B,13.04
Puderbach -> Neuwied,Mo-Fr,9,9,SZ-Center B,13.06
Puderbach -> Neuwied,Mo-Fr,9,10,Rüscheid Siegel,13.13
Puderbach -> Neuwied,Mo-Fr,9,11,Anhausen Petershof A,13.15
Puderbach -> Neuwied,Mo-Fr,9,12,Schillerstraße A an,13.18
Puderbach -> Neuwied,Mo-Fr,9,13,Schillerstraße A ab,13.19
Puderbach -> Neuwied,Mo-Fr,9,14,Braunsberg/Rheinhöhenweg,13.21
Puderbach -> Neuwied,Mo-Fr,9,15,Gladbach Haus am Pilz,13.23
Puderbach -> Neuwied,Mo-Fr,9,16,Chausseehaus,13.26
Puderbach -> Neuwied,Mo-Fr,9,17,Torney Dierdorfer Straße,13.29
Puderbach -> Neuwied,Mo-Fr,9,18,Friedhof Wennenberg,13.30
Puderbach -> Neuwied,Mo-Fr,9,19,Neuwied Beverwijker Ring,13.32
Puderbach -> Neuwied,Mo-Fr,9,20,Ludwig-Erhard-Schule,13.35
Puderbach -> Neuwied,Mo-Fr,9,21,Matthiasberg,13.36
Puderbach -> Neuwied,Mo-Fr,9,22,Stadion A,13.38
Puderbach -> Neuwied,Mo-Fr,9,23,Im Weidchen A,13.39
Puderbach -> Neuwied,Mo-Fr,9,24,Schloßtheater A,13.40
Puderbach -> Neuwied,Mo-Fr,9,25,Marktkirche A,13.42
Puderbach -> Neuwied,Mo-Fr,9,26,Marktstraße B,13.43
Puderbach -> Neuwied,Mo-Fr,9,27,Moltkeplatz A,13.45
Puderbach -> Neuwied,Mo-Fr,9,28,Bahnhof H,13.51
Puderbach -> Neuwied,Mo-Fr,10,1,Puderbach Verbandsgemeinde,13.49
Puderbach -> Neuwied,Mo-Fr,10,2,Hölzchens Mühle,13.50
Puderbach -> Neuwied,Mo-Fr,10,3,Hanroth Hedwigsthal A,13.51
Puderbach -> Neuwied,Mo-Fr,10,4,Raubach In der Au,13.55
Puderbach -> Neuwied,Mo-Fr,10,5,Wienau Flemmer,13.58
Puderbach -> Neuwied,Mo-Fr,10,6,Dierdorf Markt an,14.02
Puderbach -> Neuwied,Mo-Fr,10,7,Dierdorf Markt ab,14.03
Puderbach -> Neuwied,Mo-Fr,10,8,Neuwieder Straße B,14.04
Puderbach -> Neuwied,Mo-Fr,10,9,SZ-Center B,14.06
Puderbach -> Neuwied,Mo-Fr,10,10,Rüscheid Siegel,14.13
Puderbach -> Neuwied,Mo-Fr,10,11,Anhausen Petershof A,14.15
Puderbach -> Neuwied,Mo-Fr,10,12,Schillerstraße A an,14.18
Puderbach -> Neuwied,Mo-Fr,10,13,Schillerstraße A ab,14.19
Puderbach -> Neuwied,Mo-Fr,10,14,Braunsberg/Rheinhöhenweg,14.21
Puderbach -> Neuwied,Mo-Fr,10,15,Gladbach Haus am Pilz,14.23
Puderbach -> Neuwied,Mo-Fr,10,16,Chausseehaus,14.26
